date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,24,17,0.0,7.3,5,100,06:48 PM,07:01 AM,06:42 AM,06:04 PM,18,22,22,21,14,79,84,1.0,1014,24,8,99,9,Bangalore
2010-01-02,26,17,0.0,11.6,6,85,07:53 PM,07:59 AM,06:42 AM,06:05 PM,16,21,21,21,15,27,78,0.0,1015,26,9,76,9,Bangalore
2010-01-03,26,16,0.0,11.6,6,77,08:54 PM,08:51 AM,06:42 AM,06:06 PM,16,21,21,20,12,41,77,0.0,1015,26,8,52,7,Bangalore
2010-01-04,26,16,0.0,11.6,6,70,09:53 PM,09:39 AM,06:43 AM,06:06 PM,15,21,21,21,12,9,71,0.0,1014,26,10,49,7,Bangalore
2010-01-05,27,18,0.0,11.6,6,63,10:48 PM,10:23 AM,06:43 AM,06:07 PM,15,22,22,21,11,11,72,0.1,1012,27,9,64,7,Bangalore
2010-01-06,25,16,0.0,11.6,6,56,11:43 PM,11:06 AM,06:43 AM,06:07 PM,15,21,21,21,14,22,72,0.0,1012,25,10,83,10,Bangalore
2010-01-07,26,15,0.0,11.6,6,48,No moonrise,11:48 AM,06:44 AM,06:08 PM,15,21,21,20,13,29,75,0.0,1013,26,10,97,8,Bangalore
2010-01-08,27,16,0.0,11.6,6,41,12:36 AM,12:31 PM,06:44 AM,06:08 PM,16,21,21,21,12,40,75,0.0,1014,27,8,74,8,Bangalore
2010-01-09,26,18,0.0,8.7,5,34,01:30 AM,01:16 PM,06:44 AM,06:09 PM,18,22,22,22,14,63,84,5.6,1013,26,8,87,10,Bangalore
2010-01-10,26,19,0.0,11.6,5,27,02:24 AM,02:03 PM,06:45 AM,06:09 PM,19,22,22,21,13,63,86,7.2,1014,26,6,106,9,Bangalore
2010-01-11,26,18,0.0,11.6,6,19,03:19 AM,02:53 PM,06:45 AM,06:10 PM,18,23,23,22,14,43,82,0.4,1015,26,8,125,10,Bangalore
2010-01-12,27,18,0.0,8.7,5,12,04:12 AM,03:45 PM,06:45 AM,06:11 PM,19,23,23,22,9,68,83,10.3,1016,27,7,135,6,Bangalore
2010-01-13,24,20,0.0,7.3,5,5,05:04 AM,04:37 PM,06:45 AM,06:11 PM,20,22,22,21,8,81,91,23.6,1016,24,8,71,5,Bangalore
2010-01-14,26,19,0.0,10.2,5,0,05:53 AM,05:29 PM,06:45 AM,06:12 PM,19,23,23,22,12,60,87,13.9,1017,26,9,111,9,Bangalore
2010-01-15,26,18,0.0,11.6,6,0,06:38 AM,06:19 PM,06:46 AM,06:12 PM,18,21,21,21,18,42,82,0.0,1018,26,8,99,13,Bangalore
2010-01-16,26,16,0.0,11.6,6,2,07:21 AM,07:08 PM,06:46 AM,06:13 PM,16,21,21,20,17,13,76,0.0,1019,26,9,87,11,Bangalore
2010-01-17,26,16,0.0,11.6,6,10,08:00 AM,07:55 PM,06:46 AM,06:13 PM,15,21,21,20,14,26,76,0.0,1019,26,8,89,10,Bangalore
2010-01-18,26,16,0.0,10.2,5,17,08:36 AM,08:41 PM,06:46 AM,06:14 PM,17,21,21,21,11,59,82,8.0,1018,26,7,98,7,Bangalore
2010-01-19,24,17,0.0,10.2,5,24,09:12 AM,09:26 PM,06:46 AM,06:14 PM,17,20,21,20,13,59,83,3.5,1016,24,7,93,9,Bangalore
2010-01-20,26,18,0.0,11.6,6,31,09:47 AM,10:11 PM,06:46 AM,06:15 PM,15,22,22,21,14,30,72,1.8,1016,26,10,88,9,Bangalore
2010-01-21,26,17,0.0,11.6,6,39,10:23 AM,10:58 PM,06:46 AM,06:15 PM,13,21,21,21,13,12,64,0.0,1016,26,10,69,8,Bangalore
2010-01-22,26,14,0.0,11.6,6,46,11:01 AM,11:48 PM,06:46 AM,06:16 PM,14,20,20,20,13,10,71,0.0,1016,26,9,84,8,Bangalore
2010-01-23,26,14,0.0,11.6,6,53,11:42 AM,No moonset,06:46 AM,06:16 PM,12,20,20,20,15,10,65,0.0,1016,26,8,84,9,Bangalore
2010-01-24,27,14,0.0,11.6,6,60,12:27 PM,12:39 AM,06:46 AM,06:17 PM,14,20,20,20,11,31,69,0.0,1015,27,8,96,6,Bangalore
2010-01-25,27,15,0.0,11.6,6,68,01:18 PM,01:36 AM,06:46 AM,06:17 PM,15,21,21,21,14,30,71,0.0,1014,27,8,107,9,Bangalore
2010-01-26,27,16,0.0,11.6,6,75,02:15 PM,02:35 AM,06:46 AM,06:18 PM,15,21,21,21,14,33,70,0.0,1015,27,9,105,10,Bangalore
2010-01-27,26,16,0.0,11.6,6,82,03:17 PM,03:38 AM,06:46 AM,06:18 PM,16,22,22,21,15,38,73,0.0,1015,26,9,93,10,Bangalore
2010-01-28,27,17,0.0,11.6,6,90,04:23 PM,04:39 AM,06:46 AM,06:19 PM,15,22,22,21,18,29,71,0.0,1016,27,9,102,13,Bangalore
2010-01-29,28,17,0.0,11.6,6,97,05:29 PM,05:39 AM,06:46 AM,06:19 PM,15,22,22,21,16,19,68,0.0,1016,28,10,93,11,Bangalore
2010-01-30,29,17,0.0,11.6,6,100,06:33 PM,06:34 AM,06:46 AM,06:20 PM,14,22,22,22,13,13,63,0.0,1016,29,10,89,8,Bangalore
2010-01-31,30,16,0.0,11.6,7,100,07:35 PM,07:26 AM,06:46 AM,06:20 PM,14,23,23,23,12,21,64,0.0,1016,30,8,70,8,Bangalore
2010-02-01,30,17,0.0,11.6,7,77,08:34 PM,08:13 AM,06:46 AM,06:20 PM,13,22,22,22,13,7,62,0.0,1015,30,10,84,8,Bangalore
2010-02-02,28,16,0.0,11.6,6,69,09:31 PM,08:58 AM,06:46 AM,06:21 PM,12,21,21,21,17,7,61,0.0,1015,28,10,105,12,Bangalore
2010-02-03,29,16,0.0,11.6,6,62,10:27 PM,09:43 AM,06:45 AM,06:21 PM,10,21,21,22,18,8,54,0.0,1015,29,10,92,12,Bangalore
2010-02-04,28,14,0.0,11.6,6,54,11:23 PM,10:27 AM,06:45 AM,06:22 PM,11,21,21,21,18,4,55,0.0,1015,28,10,108,12,Bangalore
2010-02-05,28,16,0.0,11.6,6,47,No moonrise,11:13 AM,06:45 AM,06:22 PM,9,21,21,21,19,2,51,0.0,1016,28,10,100,12,Bangalore
2010-02-06,28,15,0.0,11.6,6,39,12:18 AM,12:00 PM,06:45 AM,06:22 PM,10,21,21,21,22,2,53,0.0,1016,28,10,102,15,Bangalore
2010-02-07,28,16,0.0,11.6,6,32,01:14 AM,12:49 PM,06:45 AM,06:23 PM,13,21,21,21,18,9,64,0.0,1016,28,10,104,13,Bangalore
2010-02-08,31,16,0.0,11.6,7,24,02:08 AM,01:41 PM,06:44 AM,06:23 PM,12,22,22,22,13,7,57,0.0,1014,31,10,89,9,Bangalore
2010-02-09,33,16,0.0,11.6,7,16,03:01 AM,02:33 PM,06:44 AM,06:23 PM,12,24,24,24,11,11,51,0.0,1012,33,10,150,7,Bangalore
2010-02-10,31,17,0.0,11.6,7,9,03:51 AM,03:25 PM,06:44 AM,06:24 PM,14,24,24,24,14,24,57,0.0,1012,31,10,135,9,Bangalore
2010-02-11,29,18,0.0,11.6,7,1,04:37 AM,04:15 PM,06:44 AM,06:24 PM,13,24,24,24,16,18,56,0.0,1014,29,10,118,11,Bangalore
