,pre,post
2020-03-22,103.97964617716414,79.34073271070207
2020-03-29,100.47451121426586,73.81513312671865
2020-04-05,109.35218575756464,78.36556766501494
2020-04-12,94.64939977547951,85.15198846161364
2020-04-19,107.02335575648716,94.5771624552352
2020-04-26,98.31188429147004,107.7342597347285
2020-05-03,101.0594171888328,103.18108533449204
2020-05-10,74.48916436944688,88.71617352323872
2020-05-17,88.62478006311825,86.05279833291257
2020-05-24,96.52389338772211,83.67359144240616
2020-05-31,104.88030183288667,83.89167076136384
2020-06-07,84.41693199745245,68.30280622414179
2020-06-14,94.11740078032015,69.25015161505766
2020-06-21,99.60847277939318,69.04154954424925
2020-06-28,106.06181388215295,70.3735807687044
2020-07-05,96.48182624205946,74.19651152832166
2020-07-12,104.01994923981172,77.98418210446833
2020-07-19,113.54603033299956,83.57041436114481
2020-07-26,116.16737178606645,83.55123674443789
2020-08-02,107.62469747236796,86.22698736190794
2020-08-09,106.47273336617009,88.91548567158834
2020-08-16,118.8568974041513,94.20335702278784
2020-08-23,127.6702430226973,94.38226260244845
2020-08-30,118.7511574210865,85.08009477066142
2020-09-06,119.29086898480142,77.08522162692887
2020-09-13,133.15031649810928,79.9896098119872
2020-09-20,142.4939501242978,84.71862300485371
2020-09-27,128.40738273944172,96.71298972357596
2020-10-04,135.1422066433089,83.11947608419827
2020-10-11,127.32163826482636,105.64006977714597
2020-10-18,127.00453763135842,103.09951901588855
2020-10-25,142.0314465739897,105.3578215656536
2020-11-01,115.9880748508232,78.77646954996244
2020-11-08,116.34079480809824,80.9573271700314
2020-11-15,130.65550579343522,82.62155246734618
2020-11-22,134.15207701921463,137.49469277688434
2020-11-29,130.4723656986441,83.59907161231551
2020-12-06,118.26407721745116,79.54705585113592
2020-12-13,129.33480240404606,85.05278578719921
2020-12-20,137.09186379398616,76.82122603697435
2020-12-27,130.7898433698075,58.79420667460985
2021-01-03,141.754839311753,67.56127807497977
2021-01-10,138.3842177667788,70.09582330286501
2021-01-17,131.87996673158236,72.0755861976317
2021-01-24,126.03548393717833,63.7235545516014
2021-01-31,138.14712310050214,64.66180569784981
2021-02-07,136.5853756942919,59.298029260975966
2021-02-14,155.72966274619102,65.2106174720185
2021-02-21,120.08591262357575,70.27919964279447
2021-02-28,113.95013002838407,61.07449247581617
2021-03-07,119.63728429909263,55.48119076234953
2021-03-14,132.06562200188637,64.44195692666938
2021-03-21,126.18657105522496,65.8316606006452
2021-03-28,122.44879354323659,69.7325212338141
2021-04-04,120.26227558510644,83.41163973084517
2021-04-11,112.02274315804242,86.22735008171625
2021-04-18,113.88806079434497,91.48953991596187
2021-04-25,113.21620825678109,102.24663379755137
2021-05-02,125.5685466144766,107.3066614036049
2021-05-09,125.78305720005716,102.70653544472796
2021-05-16,122.18776652855531,88.07153332339865
2021-05-23,131.0753682894366,83.94066537810222
2021-05-30,138.39038638983453,75.1037238815001
2021-06-06,131.99677444142955,79.65262163324014
2021-06-13,144.4006822492395,81.89989754557608
2021-06-20,139.5123360284737,90.97464721649884
2021-06-27,124.48827157276017,91.02627155184744
2021-07-04,129.02862393217427,90.43676237655536
2021-07-11,136.24844240077903,98.9629991592041
2021-07-18,129.70638021188122,92.40696390558566
2021-07-25,105.17206278895692,86.38643135343278
2021-08-01,102.8444876164597,67.05192878416605
2021-08-08,107.52897643085036,68.91875218493597
2021-08-15,114.82857297360896,74.3192969560623
2021-08-22,116.48943476059607,91.42057065346411
2021-08-29,122.37100207592759,85.87341668350355
2021-09-05,110.21210553284202,105.22566537904952
2021-09-12,95.80849239975213,100.44000003526784
2021-09-19,88.50545479144368,99.5849425249866
2021-09-26,87.77612548215048,89.4234819220645
